,State,County,Value,Gender,Race/Ethnicity,LatLng
148,AK,Lake and Peninsula,215.8,Female,White,"(58.652287, -156.184325)"
149,AK,Matanuska-Susitna,198.9,Female,White,"(62.31628, -149.600476)"
154,AK,Sitka,183.2,Female,White,"(57.237666, -135.284752)"
156,AK,Southeast Fairbanks,204.5,Female,White,"(63.867414, -143.22069)"
157,AK,Valdez-Cordova,202.5,Female,White,"(61.536161, -144.339956)"
161,AK,Yukon-Koyukuk,203.1,Female,White,"(65.50404, -151.41038)"
164,AK,Anchorage,220.4,Overall,Black,"(61.159049, -149.103905)"
169,AK,Fairbanks North Star,414.6,Overall,Black,"(64.809327, -146.586265)"
172,AK,Kenai Peninsula,216.6,Overall,Black,"(60.271254, -151.556972)"
176,AK,Matanuska-Susitna,216.5,Overall,Black,"(62.31628, -149.600476)"
191,AK,Anchorage,301.6,Male,Black,"(61.159049, -149.103905)"
199,AK,Kenai Peninsula,295.3,Male,Black,"(60.271254, -151.556972)"
203,AK,Matanuska-Susitna,295.5,Male,Black,"(62.31628, -149.600476)"
205,CA,California,419.4,Overall,Black,"(37.2414, -119.601)"
212,AK,Valdez-Cordova,299.1,Male,Black,"(61.536161, -144.339956)"
219,AK,Anchorage,149.2,Female,Black,"(61.159049, -149.103905)"
246,AK,Anchorage,98.7,Overall,Hispanic,"(61.159049, -149.103905)"
251,AK,Fairbanks North Star,153.3,Overall,Hispanic,"(64.809327, -146.586265)"
254,AK,Kenai Peninsula,79.4,Overall,Hispanic,"(60.271254, -151.556972)"
258,AK,Matanuska-Susitna,60.6,Overall,Hispanic,"(62.31628, -149.600476)"
266,AK,Valdez-Cordova,180.5,Overall,Hispanic,"(61.536161, -144.339956)"
273,AK,Anchorage,136.2,Male,Hispanic,"(61.159049, -149.103905)"
300,AK,Anchorage,67.2,Female,Hispanic,"(61.159049, -149.103905)"
327,AK,Anchorage,214.9,Overall,Asian and Pacific Islander,"(61.159049, -149.103905)"
335,AK,Kenai Peninsula,125.0,Overall,Asian and Pacific Islander,"(60.271254, -151.556972)"
337,AL,Bibb County,433.8,Overall,Overall,"(32.999586, -87.128286)"
340,AK,Matanuska-Susitna,94.6,Overall,Asian and Pacific Islander,"(62.31628, -149.600476)"
355,AK,Anchorage,269.3,Male,Asian and Pacific Islander,"(61.159049, -149.103905)"
363,AK,Kenai Peninsula,211.5,Male,Asian and Pacific Islander,"(60.271254, -151.556972)"
367,AK,Matanuska-Susitna,165.9,Male,Asian and Pacific Islander,"(62.31628, -149.600476)"
382,AK,Anchorage,174.8,Female,Asian and Pacific Islander,"(61.159049, -149.103905)"
390,AK,Kenai Peninsula,144.5,Female,Asian and Pacific Islander,"(60.271254, -151.556972)"
394,AK,Matanuska-Susitna,161.3,Female,Asian and Pacific Islander,"(62.31628, -149.600476)"
402,AK,Valdez-Cordova,160.8,Female,Asian and Pacific Islander,"(61.536161, -144.339956)"
409,AK,Anchorage,477.9,Overall,American Indian and Alaskan Native,"(61.159049, -149.103905)"
410,AK,Bethel,391.9,Overall,American Indian and Alaskan Native,"(60.924483, -159.749655)"
412,AK,Denali,406.5,Overall,American Indian and Alaskan Native,"(63.678399, -149.962076)"
413,AK,Dillingham,456.8,Overall,American Indian and Alaskan Native,"(59.803151, -158.181608)"
414,AK,Fairbanks North Star,379.6,Overall,American Indian and Alaskan Native,"(64.809327, -146.586265)"
415,AK,Haines,551.3,Overall,American Indian and Alaskan Native,"(59.140721, -135.513878)"
416,AK,Juneau,551.3,Overall,American Indian and Alaskan Native,"(58.478434, -134.150437)"
417,AK,Kenai Peninsula,509.4,Overall,American Indian and Alaskan Native,"(60.271254, -151.556972)"
419,AK,Kodiak Island,584.2,Overall,American Indian and Alaskan Native,"(57.715045, -153.83609)"
420,AK,Lake and Peninsula,482.9,Overall,American Indian and Alaskan Native,"(58.652287, -156.184325)"
421,AK,Matanuska-Susitna,325.4,Overall,American Indian and Alaskan Native,"(62.31628, -149.600476)"
422,AK,Nome,431.7,Overall,American Indian and Alaskan Native,"(64.90346, -163.947945)"
423,AK,North Slope,380.8,Overall,American Indian and Alaskan Native,"(69.309889, -153.398986)"
424,AK,Northwest Arctic,411.3,Overall,American Indian and Alaskan Native,"(67.065111, -159.726506)"
428,AK,Southeast Fairbanks,336.0,Overall,American Indian and Alaskan Native,"(63.867414, -143.22069)"
429,AK,Valdez-Cordova,439.3,Overall,American Indian and Alaskan Native,"(61.536161, -144.339956)"
430,AK,Wade Hampton,417.1,Overall,American Indian and Alaskan Native,"(62.159714, -163.349484)"
433,AK,Yukon-Koyukuk,384.4,Overall,American Indian and Alaskan Native,"(65.50404, -151.41038)"
436,AK,Anchorage,789.0,Male,American Indian and Alaskan Native,"(61.159049, -149.103905)"
437,AK,Bethel,570.8,Male,American Indian and Alaskan Native,"(60.924483, -159.749655)"
439,AK,Denali,594.5,Male,American Indian and Alaskan Native,"(63.678399, -149.962076)"
440,AK,Dillingham,598.0,Male,American Indian and Alaskan Native,"(59.803151, -158.181608)"
441,AK,Fairbanks North Star,524.1,Male,American Indian and Alaskan Native,"(64.809327, -146.586265)"
444,AK,Kenai Peninsula,870.5,Male,American Indian and Alaskan Native,"(60.271254, -151.556972)"
446,AK,Kodiak Island,944.8,Male,American Indian and Alaskan Native,"(57.715045, -153.83609)"
447,AK,Lake and Peninsula,699.9,Male,American Indian and Alaskan Native,"(58.652287, -156.184325)"
448,AK,Matanuska-Susitna,457.7,Male,American Indian and Alaskan Native,"(62.31628, -149.600476)"
449,AK,Nome,560.1,Male,American Indian and Alaskan Native,"(64.90346, -163.947945)"
450,AK,North Slope,554.3,Male,American Indian and Alaskan Native,"(69.309889, -153.398986)"
451,AK,Northwest Arctic,556.2,Male,American Indian and Alaskan Native,"(67.065111, -159.726506)"
455,AK,Southeast Fairbanks,473.4,Male,American Indian and Alaskan Native,"(63.867414, -143.22069)"
456,AK,Valdez-Cordova,707.3,Male,American Indian and Alaskan Native,"(61.536161, -144.339956)"
457,AK,Wade Hampton,553.4,Male,American Indian and Alaskan Native,"(62.159714, -163.349484)"
460,AK,Yukon-Koyukuk,548.2,Male,American Indian and Alaskan Native,"(65.50404, -151.41038)"
463,AK,Anchorage,292.4,Female,American Indian and Alaskan Native,"(61.159049, -149.103905)"
464,AK,Bethel,288.6,Female,American Indian and Alaskan Native,"(60.924483, -159.749655)"
467,AK,Dillingham,298.2,Female,American Indian and Alaskan Native,"(59.803151, -158.181608)"
468,AK,Fairbanks North Star,252.6,Female,American Indian and Alaskan Native,"(64.809327, -146.586265)"
471,AK,Kenai Peninsula,286.5,Female,American Indian and Alaskan Native,"(60.271254, -151.556972)"
474,AK,Lake and Peninsula,309.6,Female,American Indian and Alaskan Native,"(58.652287, -156.184325)"
475,AK,Matanuska-Susitna,274.3,Female,American Indian and Alaskan Native,"(62.31628, -149.600476)"
476,AK,Nome,333.7,Female,American Indian and Alaskan Native,"(64.90346, -163.947945)"
477,AK,North Slope,248.7,Female,American Indian and Alaskan Native,"(69.309889, -153.398986)"
478,AK,Northwest Arctic,291.5,Female,American Indian and Alaskan Native,"(67.065111, -159.726506)"
482,AK,Southeast Fairbanks,225.4,Female,American Indian and Alaskan Native,"(63.867414, -143.22069)"
483,AK,Valdez-Cordova,285.9,Female,American Indian and Alaskan Native,"(61.536161, -144.339956)"
484,AK,Wade Hampton,299.0,Female,American Indian and Alaskan Native,"(62.159714, -163.349484)"
487,AK,Yukon-Koyukuk,267.2,Female,American Indian and Alaskan Native,"(65.50404, -151.41038)"
488,AK,Alaska,280.7,Overall,Overall,"(64.3173, -152.571)"
489,AK,Alaska,362.2,Male,Overall,"(64.3173, -152.571)"
490,AK,Alaska,207.1,Female,Overall,"(64.3173, -152.571)"
491,AK,Alaska,272.4,Overall,White,"(64.3173, -152.571)"
492,AK,Alaska,342.8,Male,White,"(64.3173, -152.571)"
493,AK,Alaska,204.2,Female,White,"(64.3173, -152.571)"
494,AK,Alaska,248.9,Overall,Black,"(64.3173, -152.571)"
495,AK,Alaska,325.5,Male,Black,"(64.3173, -152.571)"
496,AK,Alaska,176.3,Female,Black,"(64.3173, -152.571)"
497,AK,Alaska,120.2,Overall,Hispanic,"(64.3173, -152.571)"
498,AK,Alaska,170.4,Male,Hispanic,"(64.3173, -152.571)"
500,AK,Alaska,172.6,Overall,Asian and Pacific Islander,"(64.3173, -152.571)"
501,AK,Alaska,219.7,Male,Asian and Pacific Islander,"(64.3173, -152.571)"
502,AK,Alaska,144.5,Female,Asian and Pacific Islander,"(64.3173, -152.571)"
503,AK,Alaska,422.1,Overall,American Indian and Alaskan Native,"(64.3173, -152.571)"
504,AK,Alaska,595.7,Male,American Indian and Alaskan Native,"(64.3173, -152.571)"
505,AK,Alaska,286.1,Female,American Indian and Alaskan Native,"(64.3173, -152.571)"
506,AL,Autauga County,425.0,Overall,Overall,"(32.540743, -86.642658)"
507,AL,Baldwin County,383.5,Overall,Overall,"(30.74338, -87.725037)"
508,AL,Barbour County,493.8,Overall,Overall,"(31.875526, -85.392733)"
509,AL,Blount County,416.5,Overall,Overall,"(33.9833, -86.566107)"
510,AL,Bullock County,433.1,Overall,Overall,"(32.105445, -85.716374)"
511,AL,Butler County,467.0,Overall,Overall,"(31.756743, -86.685543)"
512,AL,Calhoun County,586.1,Overall,Overall,"(33.776116, -85.827265)"
513,AL,Chambers County,389.4,Overall,Overall,"(32.918605, -85.389755)"
514,AL,Cherokee County,490.8,Overall,Overall,"(34.175592, -85.60109)"
515,AL,Chilton County,537.9,Overall,Overall,"(32.85542, -86.717847)"
516,AL,Choctaw County,538.8,Overall,Overall,"(32.023039, -88.263625)"
517,AL,Clarke County,453.5,Overall,Overall,"(31.685276, -87.828202)"
518,AL,Clay County,549.7,Overall,Overall,"(33.275512, -85.861243)"
519,AL,Cleburne County,546.9,Overall,Overall,"(33.676437, -85.521058)"
520,AL,Coffee County,413.1,Overall,Overall,"(31.408678, -85.987616)"
521,AL,Colbert County,542.3,Overall,Overall,"(34.700954, -87.805794)"
522,AL,Conecuh County,478.5,Overall,Overall,"(31.436316, -86.992084)"
523,AL,Coosa County,453.4,Overall,Overall,"(32.940608, -86.246358)"
524,AL,Covington County,495.6,Overall,Overall,"(31.249891, -86.449316)"
525,AL,Crenshaw County,474.9,Overall,Overall,"(31.738498, -86.315231)"
526,AL,Cullman County,435.4,Overall,Overall,"(34.135642, -86.864859)"
527,AL,Dale County,433.8,Overall,Overall,"(31.437921, -85.612525)"
528,AL,Dallas County,584.0,Overall,Overall,"(32.331714, -87.103947)"
529,AL,DeKalb County,545.1,Overall,Overall,"(34.462067, -85.803144)"
530,AL,Elmore County,456.5,Overall,Overall,"(32.599774, -86.150224)"
531,AL,Escambia County,469.1,Overall,Overall,"(31.133221, -87.162551)"
532,AL,Etowah County,551.0,Overall,Overall,"(34.048713, -86.037592)"
533,AL,Fayette County,463.4,Overall,Overall,"(33.726047, -87.737656)"
534,AL,Franklin County,528.0,Overall,Overall,"(34.445544, -87.843784)"
535,AL,Geneva County,445.3,Overall,Overall,"(31.100302, -85.833243)"
536,AL,Greene County,488.2,Overall,Overall,"(32.861522, -87.9517)"
537,AL,Hale County,479.2,Overall,Overall,"(32.769973, -87.626815)"
538,AL,Henry County,409.9,Overall,Overall,"(31.528365, -85.241061)"
539,AL,Houston County,372.4,Overall,Overall,"(31.163114, -85.295081)"
540,AL,Jackson County,515.4,Overall,Overall,"(34.784419, -85.993741)"
541,AL,Jefferson County,382.0,Overall,Overall,"(33.558145, -86.898116)"
542,AL,Lamar County,478.4,Overall,Overall,"(33.78226, -88.094104)"
543,AL,Lauderdale County,391.3,Overall,Overall,"(34.905347, -87.644897)"
544,AL,Lawrence County,506.9,Overall,Overall,"(34.524888, -87.309085)"
545,AL,Lee County,370.6,Overall,Overall,"(32.605632, -85.354778)"
546,AL,Limestone County,449.9,Overall,Overall,"(34.816826, -86.981625)"
547,AL,Lowndes County,442.5,Overall,Overall,"(32.160667, -86.649084)"
548,AL,Macon County,555.7,Overall,Overall,"(32.393582, -85.69193)"
549,AL,Madison County,387.1,Overall,Overall,"(34.765116, -86.548305)"
550,AL,Marengo County,550.4,Overall,Overall,"(32.252503, -87.787786)"
551,AL,Marion County,570.4,Overall,Overall,"(34.140618, -87.885921)"
552,AL,Marshall County,507.7,Overall,Overall,"(34.373461, -86.301726)"
553,AL,Mobile County,446.2,Overall,Overall,"(30.801931, -88.209318)"
554,AL,Monroe County,393.7,Overall,Overall,"(31.57641, -87.363884)"
555,AL,Montgomery County,361.2,Overall,Overall,"(32.22779, -86.207305)"
556,AL,Morgan County,467.5,Overall,Overall,"(34.45678, -86.853086)"
557,AL,Perry County,543.2,Overall,Overall,"(32.640101, -87.292576)"
558,AL,Pickens County,463.2,Overall,Overall,"(33.285701, -88.089005)"
559,AL,Pike County,423.1,Overall,Overall,"(31.809652, -85.94098)"
560,AL,Randolph County,561.9,Overall,Overall,"(33.302268, -85.45696)"
561,AL,Russell County,353.5,Overall,Overall,"(32.294434, -85.183533)"
562,AL,St. Clair County,441.3,Overall,Overall,"(33.714796, -86.317073)"
563,AL,Shelby County,307.3,Overall,Overall,"(33.272349, -86.662124)"
564,AL,Sumter County,485.5,Overall,Overall,"(32.592159, -88.198779)"
565,AL,Talladega County,464.0,Overall,Overall,"(33.38655, -86.165729)"
566,AL,Tallapoosa County,436.8,Overall,Overall,"(32.870228, -85.796142)"
567,AL,Tuscaloosa County,415.2,Overall,Overall,"(33.297694, -87.520245)"
568,AL,Walker County,668.2,Overall,Overall,"(33.808663, -87.297984)"
569,AL,Washington County,514.9,Overall,Overall,"(31.414015, -88.206517)"
570,AL,Wilcox County,758.0,Overall,Overall,"(31.997603, -87.309377)"
571,AL,Winston County,442.8,Overall,Overall,"(34.155045, -87.372984)"
572,AL,Autauga County,533.8,Male,Overall,"(32.540743, -86.642658)"
573,AL,Baldwin County,482.4,Male,Overall,"(30.74338, -87.725037)"
574,AL,Barbour County,630.4,Male,Overall,"(31.875526, -85.392733)"
575,AL,Bibb County,555.4,Male,Overall,"(32.999586, -87.128286)"
576,AL,Blount County,506.2,Male,Overall,"(33.9833, -86.566107)"
577,AL,Bullock County,504.0,Male,Overall,"(32.105445, -85.716374)"
578,AL,Butler County,570.6,Male,Overall,"(31.756743, -86.685543)"
579,AL,Calhoun County,726.4,Male,Overall,"(33.776116, -85.827265)"
580,AL,Chambers County,500.3,Male,Overall,"(32.918605, -85.389755)"
581,AL,Cherokee County,598.0,Male,Overall,"(34.175592, -85.60109)"
582,AL,Chilton County,632.0,Male,Overall,"(32.85542, -86.717847)"
583,AL,Choctaw County,661.8,Male,Overall,"(32.023039, -88.263625)"
584,AL,Clarke County,595.1,Male,Overall,"(31.685276, -87.828202)"
585,AL,Clay County,615.6,Male,Overall,"(33.275512, -85.861243)"
586,AL,Cleburne County,659.5,Male,Overall,"(33.676437, -85.521058)"
587,AL,Coffee County,521.2,Male,Overall,"(31.408678, -85.987616)"
588,AL,Colbert County,672.7,Male,Overall,"(34.700954, -87.805794)"
589,AL,Conecuh County,581.4,Male,Overall,"(31.436316, -86.992084)"
590,AL,Coosa County,567.5,Male,Overall,"(32.940608, -86.246358)"
591,AL,Covington County,646.4,Male,Overall,"(31.249891, -86.449316)"
592,AL,Crenshaw County,654.0,Male,Overall,"(31.738498, -86.315231)"
593,AL,Cullman County,470.3,Male,Overall,"(34.135642, -86.864859)"
594,AL,Dale County,556.0,Male,Overall,"(31.437921, -85.612525)"
595,AL,Dallas County,719.4,Male,Overall,"(32.331714, -87.103947)"
596,AL,DeKalb County,679.9,Male,Overall,"(34.462067, -85.803144)"
597,AL,Elmore County,569.5,Male,Overall,"(32.599774, -86.150224)"
598,AL,Escambia County,570.6,Male,Overall,"(31.133221, -87.162551)"
599,AL,Etowah County,700.8,Male,Overall,"(34.048713, -86.037592)"
600,AL,Fayette County,622.9,Male,Overall,"(33.726047, -87.737656)"
601,AL,Franklin County,650.5,Male,Overall,"(34.445544, -87.843784)"
602,AL,Geneva County,568.6,Male,Overall,"(31.100302, -85.833243)"
603,AL,Greene County,615.7,Male,Overall,"(32.861522, -87.9517)"
604,AL,Hale County,594.0,Male,Overall,"(32.769973, -87.626815)"
605,AL,Henry County,545.9,Male,Overall,"(31.528365, -85.241061)"
606,AL,Houston County,455.6,Male,Overall,"(31.163114, -85.295081)"
607,AL,Jackson County,634.6,Male,Overall,"(34.784419, -85.993741)"
608,AL,Jefferson County,491.6,Male,Overall,"(33.558145, -86.898116)"
609,AL,Lamar County,598.2,Male,Overall,"(33.78226, -88.094104)"
610,AL,Lauderdale County,477.9,Male,Overall,"(34.905347, -87.644897)"
611,AL,Lawrence County,592.8,Male,Overall,"(34.524888, -87.309085)"
612,AL,Lee County,457.3,Male,Overall,"(32.605632, -85.354778)"
613,AL,Limestone County,550.9,Male,Overall,"(34.816826, -86.981625)"
614,AL,Lowndes County,501.6,Male,Overall,"(32.160667, -86.649084)"
615,AL,Macon County,711.0,Male,Overall,"(32.393582, -85.69193)"
616,AL,Madison County,477.4,Male,Overall,"(34.765116, -86.548305)"
617,AL,Marengo County,651.2,Male,Overall,"(32.252503, -87.787786)"
618,AL,Marion County,668.5,Male,Overall,"(34.140618, -87.885921)"
619,AL,Marshall County,639.2,Male,Overall,"(34.373461, -86.301726)"
620,AL,Mobile County,571.6,Male,Overall,"(30.801931, -88.209318)"
621,AL,Monroe County,484.5,Male,Overall,"(31.57641, -87.363884)"
622,AL,Montgomery County,475.6,Male,Overall,"(32.22779, -86.207305)"
623,AL,Morgan County,566.8,Male,Overall,"(34.45678, -86.853086)"
624,AL,Perry County,660.3,Male,Overall,"(32.640101, -87.292576)"
625,AL,Pickens County,589.5,Male,Overall,"(33.285701, -88.089005)"
626,AL,Pike County,486.3,Male,Overall,"(31.809652, -85.94098)"
627,AL,Randolph County,678.0,Male,Overall,"(33.302268, -85.45696)"
628,AL,Russell County,438.7,Male,Overall,"(32.294434, -85.183533)"
629,AL,St. Clair County,564.3,Male,Overall,"(33.714796, -86.317073)"
630,AL,Shelby County,377.9,Male,Overall,"(33.272349, -86.662124)"
631,AL,Sumter County,600.7,Male,Overall,"(32.592159, -88.198779)"
632,AL,Talladega County,502.1,Male,Overall,"(33.38655, -86.165729)"
633,AL,Tallapoosa County,525.2,Male,Overall,"(32.870228, -85.796142)"
634,AL,Tuscaloosa County,546.6,Male,Overall,"(33.297694, -87.520245)"
635,AL,Walker County,761.5,Male,Overall,"(33.808663, -87.297984)"
636,AL,Washington County,608.1,Male,Overall,"(31.414015, -88.206517)"
637,AL,Wilcox County,814.5,Male,Overall,"(31.997603, -87.309377)"
638,AL,Winston County,476.4,Male,Overall,"(34.155045, -87.372984)"
639,AL,Autauga County,337.0,Female,Overall,"(32.540743, -86.642658)"
640,AL,Baldwin County,302.3,Female,Overall,"(30.74338, -87.725037)"
641,AL,Barbour County,356.0,Female,Overall,"(31.875526, -85.392733)"
642,AL,Bibb County,325.7,Female,Overall,"(32.999586, -87.128286)"
643,AL,Blount County,333.5,Female,Overall,"(33.9833, -86.566107)"
644,AL,Bullock County,340.9,Female,Overall,"(32.105445, -85.716374)"
645,AL,Butler County,392.6,Female,Overall,"(31.756743, -86.685543)"
646,AL,Calhoun County,470.3,Female,Overall,"(33.776116, -85.827265)"
647,AL,Chambers County,313.2,Female,Overall,"(32.918605, -85.389755)"
648,AL,Cherokee County,422.4,Female,Overall,"(34.175592, -85.60109)"
649,AL,Chilton County,440.2,Female,Overall,"(32.85542, -86.717847)"
650,AL,Choctaw County,430.9,Female,Overall,"(32.023039, -88.263625)"
651,AL,Clarke County,341.3,Female,Overall,"(31.685276, -87.828202)"
652,AL,Clay County,464.2,Female,Overall,"(33.275512, -85.861243)"
